Before the meeting , Mary wrote down the following lists of words . One was : patience , notion , movie . And the other : doorway , candle , parent .
Before the meeting , Mary wrote down the following lists of words . One was : building , county , muscle . And the other : leather , hero , water .
Before the meeting , Mary wrote down the following lists of words . One was : finger , building , county . And the other : lumber , research , resort .
Before the meeting , Mary wrote down the following lists of words . One was : mission , finger , building . And the other : opera , attack , prison .
Before the meeting , Mary wrote down the following lists of words . One was : value , mission , finger . And the other : kingdom , cabin , doorway .
Before the meeting , Mary wrote down the following lists of words . One was : herald , value , mission . And the other : system , unit , traitor .
Before the meeting , Mary wrote down the following lists of words . One was : sickness , herald , value . And the other : pleasure , pattern , leader .
Before the meeting , Mary wrote down the following lists of words . One was : shepherd , sickness , herald . And the other : motor , lawyer , powder .
Before the meeting , Mary wrote down the following lists of words . One was : vapor , shepherd , sickness . And the other : ticket , baby , treasure .
Before the meeting , Mary wrote down the following lists of words . One was : muscle , vapor , shepherd . And the other : widow , image , butcher .
Before the meeting , Mary wrote down the following lists of words . One was : iron , onion , opera . And the other : patience , notion , movie .
Before the meeting , Mary wrote down the following lists of words . One was : beggar , iron , onion . And the other : single , system , unit .
Before the meeting , Mary wrote down the following lists of words . One was : commerce , beggar , iron . And the other : problem , flavor , prairie .
Before the meeting , Mary wrote down the following lists of words . One was : colonel , commerce , beggar . And the other : silver , eagle , center .
Before the meeting , Mary wrote down the following lists of words . One was : interest , colonel , commerce . And the other : notion , movie , women .
Before the meeting , Mary wrote down the following lists of words . One was : butter , interest , colonel . And the other : candy , window , detail .
Before the meeting , Mary wrote down the following lists of words . One was : prison , butter , interest . And the other : bubble , colour , product .
Before the meeting , Mary wrote down the following lists of words . One was : attack , prison , butter . And the other : research , resort , rival .
Before the meeting , Mary wrote down the following lists of words . One was : opera , attack , prison . And the other : summer , bottom , meaning .
Before the meeting , Mary wrote down the following lists of words . One was : onion , opera , attack . And the other : cabin , doorway , candle .
Before the meeting , Mary wrote down the following lists of words . One was : blanket , marriage , ticket . And the other : parlor , acre , fortune .
Before the meeting , Mary wrote down the following lists of words . One was : judgment , blanket , marriage . And the other : writer , apple , costume .
Before the meeting , Mary wrote down the following lists of words . One was : cotton , judgment , blanket . And the other : scholar , compound , tribute .
Before the meeting , Mary wrote down the following lists of words . One was : cottage , cotton , judgment . And the other : traffic , feather , array .
Before the meeting , Mary wrote down the following lists of words . One was : weakness , cottage , cotton . And the other : traffic , feather , array .
Before the meeting , Mary wrote down the following lists of words . One was : event , weakness , cottage . And the other : minute , tiger , author .
Before the meeting , Mary wrote down the following lists of words . One was : treasure , event , weakness . And the other : herald , value , mission .
Before the meeting , Mary wrote down the following lists of words . One was : baby , treasure , event . And the other : butcher , anchor , scholar .
Before the meeting , Mary wrote down the following lists of words . One was : ticket , baby , treasure . And the other : unit , traitor , engine .
Before the meeting , Mary wrote down the following lists of words . One was : marriage , ticket , baby . And the other : effort , province , parcel .
Before the meeting , Mary wrote down the following lists of words . One was : summer , bottom , meaning . And the other : rifle , vessel , robber .
Before the meeting , Mary wrote down the following lists of words . One was : stanza , summer , bottom . And the other : merit , autumn , lumber .
Before the meeting , Mary wrote down the following lists of words . One was : hatred , stanza , summer . And the other : tribute , victim , lily .
Before the meeting , Mary wrote down the following lists of words . One was : thunder , hatred , stanza . And the other : engine , timber , harbour .
Before the meeting , Mary wrote down the following lists of words . One was : helmet , thunder , hatred . And the other : captain , tunnel , method .
Before the meeting , Mary wrote down the following lists of words . One was : cannon , helmet , thunder . And the other : tiger , author , sorrow .
Before the meeting , Mary wrote down the following lists of words . One was : voyage , cannon , helmet . And the other : vapor , shepherd , sickness .
Before the meeting , Mary wrote down the following lists of words . One was : campaign , voyage , cannon . And the other : letter , acid , stocking .
Before the meeting , Mary wrote down the following lists of words . One was : meaning , campaign , voyage . And the other : pattern , leader , culture .
Before the meeting , Mary wrote down the following lists of words . One was : bottom , meaning , campaign . And the other : silence , candy , window .
Before the meeting , Mary wrote down the following lists of words . One was : effort , province , parcel . And the other : belief , factor , total .
Before the meeting , Mary wrote down the following lists of words . One was : chimney , effort , province . And the other : chapter , quarter , button .
Before the meeting , Mary wrote down the following lists of words . One was : bargain , chimney , effort . And the other : village , shipping , beauty .
Before the meeting , Mary wrote down the following lists of words . One was : career , bargain , chimney . And the other : program , traffic , feather .
Before the meeting , Mary wrote down the following lists of words . One was : meeting , career , bargain . And the other : failure , princess , painter .
Before the meeting , Mary wrote down the following lists of words . One was : major , meeting , career . And the other : method , wagon , effect .
Before the meeting , Mary wrote down the following lists of words . One was : river , major , meeting . And the other : pillow , aspect , chairman .
Before the meeting , Mary wrote down the following lists of words . One was : temple , river , major . And the other : compass , model , orange .
Before the meeting , Mary wrote down the following lists of words . One was : parcel , temple , river . And the other : marble , horror , justice .
Before the meeting , Mary wrote down the following lists of words . One was : province , parcel , temple . And the other : theory , person , season .
Before the meeting , Mary wrote down the following lists of words . One was : acre , fortune , motive . And the other : feather , array , pilot .
Before the meeting , Mary wrote down the following lists of words . One was : parlor , acre , fortune . And the other : product , echo , pepper .
Before the meeting , Mary wrote down the following lists of words . One was : sorrow , parlor , acre . And the other : leader , culture , worker .
Before the meeting , Mary wrote down the following lists of words . One was : author , sorrow , parlor . And the other : apple , costume , pleasure .
Before the meeting , Mary wrote down the following lists of words . One was : tiger , author , sorrow . And the other : value , mission , finger .
Before the meeting , Mary wrote down the following lists of words . One was : minute , tiger , author . And the other : movie , women , canoe .
Before the meeting , Mary wrote down the following lists of words . One was : service , minute , tiger . And the other : sailor , matter , darkness .
Before the meeting , Mary wrote down the following lists of words . One was : question , service , minute . And the other : resort , rival , village .
Before the meeting , Mary wrote down the following lists of words . One was : motive , question , service . And the other : comrade , angle , battle .
Before the meeting , Mary wrote down the following lists of words . One was : fortune , motive , question . And the other : circuit , cousin , chapter .
Before the meeting , Mary wrote down the following lists of words . One was : motor , lawyer , powder . And the other : patent , picture , custom .
Before the meeting , Mary wrote down the following lists of words . One was : water , motor , lawyer . And the other : patient , daughter , bubble .
Before the meeting , Mary wrote down the following lists of words . One was : hero , water , motor . And the other : cottage , cotton , judgment .
Before the meeting , Mary wrote down the following lists of words . One was : leather , hero , water . And the other : paper , belief , factor .
Before the meeting , Mary wrote down the following lists of words . One was : learning , leather , hero . And the other : folly , silver , eagle .
Before the meeting , Mary wrote down the following lists of words . One was : district , learning , leather . And the other : image , butcher , anchor .
Before the meeting , Mary wrote down the following lists of words . One was : mountain , district , learning . And the other : array , pilot , silence .
Before the meeting , Mary wrote down the following lists of words . One was : habit , mountain , district . And the other : helmet , thunder , hatred .
Before the meeting , Mary wrote down the following lists of words . One was : powder , habit , mountain . And the other : attack , prison , butter .
Before the meeting , Mary wrote down the following lists of words . One was : lawyer , powder , habit . And the other : muscle , vapor , shepherd .
Before the meeting , Mary wrote down the following lists of words . One was : orange , letter , acid . And the other : pistol , nothing , riches .
Before the meeting , Mary wrote down the following lists of words . One was : model , orange , letter . And the other : learning , leather , hero .
Before the meeting , Mary wrote down the following lists of words . One was : compass , model , orange . And the other : autumn , lumber , research .
Before the meeting , Mary wrote down the following lists of words . One was : motion , compass , model . And the other : ocean , program , traffic .
Before the meeting , Mary wrote down the following lists of words . One was : feeling , motion , compass . And the other : lemon , failure , princess .
Before the meeting , Mary wrote down the following lists of words . One was : garden , feeling , motion . And the other : horror , justice , danger .
Before the meeting , Mary wrote down the following lists of words . One was : olive , garden , feeling . And the other : cannon , helmet , thunder .
Before the meeting , Mary wrote down the following lists of words . One was : stocking , olive , garden . And the other : autumn , lumber , research .
Before the meeting , Mary wrote down the following lists of words . One was : acid , stocking , olive . And the other : monarch , kindness , lover .
Before the meeting , Mary wrote down the following lists of words . One was : letter , acid , stocking . And the other : kindness , lover , copy .
Before the meeting , Mary wrote down the following lists of words . One was : island , theory , person . And the other : justice , danger , bedroom .
Before the meeting , Mary wrote down the following lists of words . One was : twilight , island , theory . And the other : mission , finger , building .
Before the meeting , Mary wrote down the following lists of words . One was : custom , twilight , island . And the other : training , circuit , cousin .
Before the meeting , Mary wrote down the following lists of words . One was : picture , custom , twilight . And the other : anchor , scholar , compound .
Before the meeting , Mary wrote down the following lists of words . One was : patent , picture , custom . And the other : turkey , surface , writing .
Before the meeting , Mary wrote down the following lists of words . One was : reason , patent , picture . And the other : party , level , money .
Before the meeting , Mary wrote down the following lists of words . One was : supper , reason , patent . And the other : stanza , summer , bottom .
Before the meeting , Mary wrote down the following lists of words . One was : season , supper , reason . And the other : shipping , beauty , football .
Before the meeting , Mary wrote down the following lists of words . One was : person , season , supper . And the other : canvas , chamber , future .
Before the meeting , Mary wrote down the following lists of words . One was : theory , person , season . And the other : olive , garden , feeling .
Before the meeting , Mary wrote down the following lists of words . One was : dragon , pillow , aspect . And the other : eagle , center , patience .
Before the meeting , Mary wrote down the following lists of words . One was : canal , dragon , pillow . And the other : commerce , beggar , iron .
Before the meeting , Mary wrote down the following lists of words . One was : bedroom , canal , dragon . And the other : detail , ocean , program .
Before the meeting , Mary wrote down the following lists of words . One was : danger , bedroom , canal . And the other : darkness , scatter , captain .
Before the meeting , Mary wrote down the following lists of words . One was : justice , danger , bedroom . And the other : colonel , commerce , beggar .
Before the meeting , Mary wrote down the following lists of words . One was : horror , justice , danger . And the other : arrow , sailor , matter .
Before the meeting , Mary wrote down the following lists of words . One was : marble , horror , justice . And the other : planet , canvas , chamber .
Before the meeting , Mary wrote down the following lists of words . One was : chairman , marble , horror . And the other : sickness , herald , value .
Before the meeting , Mary wrote down the following lists of words . One was : aspect , chairman , marble . And the other : matter , darkness , scatter .
Before the meeting , Mary wrote down the following lists of words . One was : pillow , aspect , chairman . And the other : harbour , party , level .
Before the meeting , Mary wrote down the following lists of words . One was : writing , pocket , training . And the other : canal , dragon , pillow .
Before the meeting , Mary wrote down the following lists of words . One was : surface , writing , pocket . And the other : center , patience , notion .
Before the meeting , Mary wrote down the following lists of words . One was : turkey , surface , writing . And the other : future , legend , problem .
Before the meeting , Mary wrote down the following lists of words . One was : button , turkey , surface . And the other : river , major , meeting .
Before the meeting , Mary wrote down the following lists of words . One was : quarter , button , turkey . And the other : culture , worker , master .
Before the meeting , Mary wrote down the following lists of words . One was : chapter , quarter , button . And the other : feeling , motion , compass .
Before the meeting , Mary wrote down the following lists of words . One was : cousin , chapter , quarter . And the other : beauty , football , merit .
Before the meeting , Mary wrote down the following lists of words . One was : circuit , cousin , chapter . And the other : chairman , marble , horror .
Before the meeting , Mary wrote down the following lists of words . One was : training , circuit , cousin . And the other : painter , bullet , rifle .
Before the meeting , Mary wrote down the following lists of words . One was : pocket , training , circuit . And the other : princess , painter , bullet .
Before the meeting , Mary wrote down the following lists of words . One was : sailor , matter , darkness . And the other : timber , harbour , party .
Before the meeting , Mary wrote down the following lists of words . One was : arrow , sailor , matter . And the other : football , merit , autumn .
Before the meeting , Mary wrote down the following lists of words . One was : effect , arrow , sailor . And the other : powder , habit , mountain .
Before the meeting , Mary wrote down the following lists of words . One was : wagon , effect , arrow . And the other : writing , pocket , training .
Before the meeting , Mary wrote down the following lists of words . One was : method , wagon , effect . And the other : shepherd , sickness , herald .
Before the meeting , Mary wrote down the following lists of words . One was : tunnel , method , wagon . And the other : echo , pepper , fountain .
Before the meeting , Mary wrote down the following lists of words . One was : captain , tunnel , method . And the other : rival , village , shipping .
Before the meeting , Mary wrote down the following lists of words . One was : scatter , captain , tunnel . And the other : cousin , chapter , quarter .
Before the meeting , Mary wrote down the following lists of words . One was : darkness , scatter , captain . And the other : master , meadow , writer .
Before the meeting , Mary wrote down the following lists of words . One was : matter , darkness , scatter . And the other : temple , river , major .
Before the meeting , Mary wrote down the following lists of words . One was : image , butcher , anchor . And the other : pilot , silence , candy .
Before the meeting , Mary wrote down the following lists of words . One was : widow , image , butcher . And the other : factor , total , comrade .
Before the meeting , Mary wrote down the following lists of words . One was : witness , widow , image . And the other : cotton , judgment , blanket .
Before the meeting , Mary wrote down the following lists of words . One was : lily , witness , widow . And the other : fortune , motive , question .
Before the meeting , Mary wrote down the following lists of words . One was : victim , lily , witness . And the other : fountain , music , oven .
Before the meeting , Mary wrote down the following lists of words . One was : tribute , victim , lily . And the other : supper , reason , patent .
Before the meeting , Mary wrote down the following lists of words . One was : compound , tribute , victim . And the other : bullet , rifle , vessel .
Before the meeting , Mary wrote down the following lists of words . One was : scholar , compound , tribute . And the other : blanket , marriage , ticket .
Before the meeting , Mary wrote down the following lists of words . One was : anchor , scholar , compound . And the other : finger , building , county .
Before the meeting , Mary wrote down the following lists of words . One was : butcher , anchor , scholar . And the other : butter , interest , colonel .
Before the meeting , Mary wrote down the following lists of words . One was : candy , window , detail . And the other : motion , compass , model .
Before the meeting , Mary wrote down the following lists of words . One was : silence , candy , window . And the other : daughter , bubble , colour .
Before the meeting , Mary wrote down the following lists of words . One was : pilot , silence , candy . And the other : button , turkey , surface .
Before the meeting , Mary wrote down the following lists of words . One was : array , pilot , silence . And the other : compound , tribute , victim .
Before the meeting , Mary wrote down the following lists of words . One was : feather , array , pilot . And the other : acre , fortune , motive .
Before the meeting , Mary wrote down the following lists of words . One was : traffic , feather , array . And the other : flavor , prairie , forehead .
Before the meeting , Mary wrote down the following lists of words . One was : program , traffic , feather . And the other : twilight , island , theory .
Before the meeting , Mary wrote down the following lists of words . One was : ocean , program , traffic . And the other : marriage , ticket , baby .
Before the meeting , Mary wrote down the following lists of words . One was : detail , ocean , program . And the other : parent , monarch , kindness .
Before the meeting , Mary wrote down the following lists of words . One was : window , detail , ocean . And the other : forehead , illness , planet .
Before the meeting , Mary wrote down the following lists of words . One was : vessel , robber , banner . And the other : weakness , cottage , cotton .
Before the meeting , Mary wrote down the following lists of words . One was : rifle , vessel , robber . And the other : interest , colonel , commerce .
Before the meeting , Mary wrote down the following lists of words . One was : bullet , rifle , vessel . And the other : sorrow , parlor , acre .
Before the meeting , Mary wrote down the following lists of words . One was : painter , bullet , rifle . And the other : battle , pistol , nothing .
Before the meeting , Mary wrote down the following lists of words . One was : princess , painter , bullet . And the other : battle , pistol , nothing .
Before the meeting , Mary wrote down the following lists of words . One was : failure , princess , painter . And the other : island , theory , person .
Before the meeting , Mary wrote down the following lists of words . One was : lemon , failure , princess . And the other : nothing , riches , paper .
Before the meeting , Mary wrote down the following lists of words . One was : kitten , lemon , failure . And the other : district , learning , leather .
Before the meeting , Mary wrote down the following lists of words . One was : banner , kitten , lemon . And the other : weakness , cottage , cotton .
Before the meeting , Mary wrote down the following lists of words . One was : robber , banner , kitten . And the other : island , theory , person .
Before the meeting , Mary wrote down the following lists of words . One was : engine , timber , harbour . And the other : garden , feeling , motion .
Before the meeting , Mary wrote down the following lists of words . One was : traitor , engine , timber . And the other : kitten , lemon , failure .
Before the meeting , Mary wrote down the following lists of words . One was : unit , traitor , engine . And the other : angle , battle , pistol .
Before the meeting , Mary wrote down the following lists of words . One was : system , unit , traitor . And the other : tunnel , method , wagon .
Before the meeting , Mary wrote down the following lists of words . One was : single , system , unit . And the other : tunnel , method , wagon .
Before the meeting , Mary wrote down the following lists of words . One was : money , single , system . And the other : copy , soldier , kingdom .
Before the meeting , Mary wrote down the following lists of words . One was : level , money , single . And the other : lily , witness , widow .
Before the meeting , Mary wrote down the following lists of words . One was : party , level , money . And the other : tunnel , method , wagon .
Before the meeting , Mary wrote down the following lists of words . One was : harbour , party , level . And the other : lily , witness , widow .
Before the meeting , Mary wrote down the following lists of words . One was : timber , harbour , party . And the other : prison , butter , interest .
Before the meeting , Mary wrote down the following lists of words . One was : patience , notion , movie , women , canoe . And the other : doorway , candle , parent , monarch , kindness .
Before the meeting , Mary wrote down the following lists of words . One was : center , patience , notion , movie , women . And the other : lawyer , powder , habit , mountain , district .
Before the meeting , Mary wrote down the following lists of words . One was : eagle , center , patience , notion , movie . And the other : quarter , button , turkey , surface , writing .
Before the meeting , Mary wrote down the following lists of words . One was : silver , eagle , center , patience , notion . And the other : pocket , training , circuit , cousin , chapter .
Before the meeting , Mary wrote down the following lists of words . One was : folly , silver , eagle , center , patience . And the other : mountain , district , learning , leather , hero .
Before the meeting , Mary wrote down the following lists of words . One was : novel , folly , silver , eagle , center . And the other : chimney , effort , province , parcel , temple .
Before the meeting , Mary wrote down the following lists of words . One was : canoe , novel , folly , silver , eagle . And the other : illness , planet , canvas , chamber , future .
Before the meeting , Mary wrote down the following lists of words . One was : women , canoe , novel , folly , silver . And the other : doorway , candle , parent , monarch , kindness .
Before the meeting , Mary wrote down the following lists of words . One was : movie , women , canoe , novel , folly . And the other : costume , pleasure , pattern , leader , culture .
Before the meeting , Mary wrote down the following lists of words . One was : notion , movie , women , canoe , novel . And the other : motive , question , service , minute , tiger .
Before the meeting , Mary wrote down the following lists of words . One was : pleasure , pattern , leader , culture , worker . And the other : service , minute , tiger , author , sorrow .
Before the meeting , Mary wrote down the following lists of words . One was : costume , pleasure , pattern , leader , culture . And the other : building , county , muscle , vapor , shepherd .
Before the meeting , Mary wrote down the following lists of words . One was : apple , costume , pleasure , pattern , leader . And the other : person , season , supper , reason , patent .
Before the meeting , Mary wrote down the following lists of words . One was : writer , apple , costume , pleasure , pattern . And the other : parcel , temple , river , major , meeting .
Before the meeting , Mary wrote down the following lists of words . One was : meadow , writer , apple , costume , pleasure . And the other : thunder , hatred , stanza , summer , bottom .
Before the meeting , Mary wrote down the following lists of words . One was : master , meadow , writer , apple , costume . And the other : hero , water , motor , lawyer , powder .
Before the meeting , Mary wrote down the following lists of words . One was : worker , master , meadow , writer , apple . And the other : level , money , single , system , unit .
Before the meeting , Mary wrote down the following lists of words . One was : culture , worker , master , meadow , writer . And the other : question , service , minute , tiger , author .
Before the meeting , Mary wrote down the following lists of words . One was : leader , culture , worker , master , meadow . And the other : robber , banner , kitten , lemon , failure .
Before the meeting , Mary wrote down the following lists of words . One was : pattern , leader , culture , worker , master . And the other : riches , paper , belief , factor , total .
Before the meeting , Mary wrote down the following lists of words . One was : paper , belief , factor , total , comrade . And the other : judgment , blanket , marriage , ticket , baby .
Before the meeting , Mary wrote down the following lists of words . One was : riches , paper , belief , factor , total . And the other : bedroom , canal , dragon , pillow , aspect .
Before the meeting , Mary wrote down the following lists of words . One was : nothing , riches , paper , belief , factor . And the other : event , weakness , cottage , cotton , judgment .
Before the meeting , Mary wrote down the following lists of words . One was : pistol , nothing , riches , paper , belief . And the other : witness , widow , image , butcher , anchor .
Before the meeting , Mary wrote down the following lists of words . One was : battle , pistol , nothing , riches , paper . And the other : women , canoe , novel , folly , silver .
Before the meeting , Mary wrote down the following lists of words . One was : angle , battle , pistol , nothing , riches . And the other : colour , product , echo , pepper , fountain .
Before the meeting , Mary wrote down the following lists of words . One was : comrade , angle , battle , pistol , nothing . And the other : lover , copy , soldier , kingdom , cabin .
Before the meeting , Mary wrote down the following lists of words . One was : total , comrade , angle , battle , pistol . And the other : chamber , future , legend , problem , flavor .
Before the meeting , Mary wrote down the following lists of words . One was : factor , total , comrade , angle , battle . And the other : vessel , robber , banner , kitten , lemon .
Before the meeting , Mary wrote down the following lists of words . One was : belief , factor , total , comrade , angle . And the other : window , detail , ocean , program , traffic .
Before the meeting , Mary wrote down the following lists of words . One was : cabin , doorway , candle , parent , monarch . And the other : prairie , forehead , illness , planet , canvas .
Before the meeting , Mary wrote down the following lists of words . One was : kingdom , cabin , doorway , candle , parent . And the other : money , single , system , unit , traitor .
Before the meeting , Mary wrote down the following lists of words . One was : soldier , kingdom , cabin , doorway , candle . And the other : province , parcel , temple , river , major .
Before the meeting , Mary wrote down the following lists of words . One was : copy , soldier , kingdom , cabin , doorway . And the other : bargain , chimney , effort , province , parcel .
Before the meeting , Mary wrote down the following lists of words . One was : lover , copy , soldier , kingdom , cabin . And the other : campaign , voyage , cannon , helmet , thunder .
Before the meeting , Mary wrote down the following lists of words . One was : kindness , lover , copy , soldier , kingdom . And the other : music , oven , patient , daughter , bubble .
Before the meeting , Mary wrote down the following lists of words . One was : monarch , kindness , lover , copy , soldier . And the other : beggar , iron , onion , opera , attack .
Before the meeting , Mary wrote down the following lists of words . One was : parent , monarch , kindness , lover , copy . And the other : dragon , pillow , aspect , chairman , marble .
Before the meeting , Mary wrote down the following lists of words . One was : candle , parent , monarch , kindness , lover . And the other : custom , twilight , island , theory , person .
Before the meeting , Mary wrote down the following lists of words . One was : doorway , candle , parent , monarch , kindness . And the other : danger , bedroom , canal , dragon , pillow .
Before the meeting , Mary wrote down the following lists of words . One was : future , legend , problem , flavor , prairie . And the other : wagon , effect , arrow , sailor , matter .
Before the meeting , Mary wrote down the following lists of words . One was : chamber , future , legend , problem , flavor . And the other : picture , custom , twilight , island , theory .
Before the meeting , Mary wrote down the following lists of words . One was : canvas , chamber , future , legend , problem . And the other : treasure , event , weakness , cottage , cotton .
Before the meeting , Mary wrote down the following lists of words . One was : planet , canvas , chamber , future , legend . And the other : effect , arrow , sailor , matter , darkness .
