Before the meeting , Mary wrote down the following lists of words . One was : window , door , roof . And the other : sparrow , heron , eagle .
Before the meeting , Mary wrote down the following lists of words . One was : screws , hammer , saw . And the other : violin , clarinet , flute .
Before the meeting , Mary wrote down the following lists of words . One was : drill , screws , hammer . And the other : ceiling , room , basement .
Before the meeting , Mary wrote down the following lists of words . One was : wrench , drill , screws . And the other : elm , birch , spruce .
Before the meeting , Mary wrote down the following lists of words . One was : ruler , wrench , drill . And the other : ceiling , room , basement .
Before the meeting , Mary wrote down the following lists of words . One was : chisel , ruler , wrench . And the other : chemistry , physics , psychology .
Before the meeting , Mary wrote down the following lists of words . One was : plane , chisel , ruler . And the other : cod , carp , pike .
Before the meeting , Mary wrote down the following lists of words . One was : level , plane , chisel . And the other : finger , ear , hand .
Before the meeting , Mary wrote down the following lists of words . One was : nails , level , plane . And the other : elephant , pig , bear .
Before the meeting , Mary wrote down the following lists of words . One was : saw , nails , level . And the other : fork , pan , pot .
Before the meeting , Mary wrote down the following lists of words . One was : hurricane , tornado , rain . And the other : felt , cotton , wool .
Before the meeting , Mary wrote down the following lists of words . One was : sunshine , hurricane , tornado . And the other : pear , banana , peach .
Before the meeting , Mary wrote down the following lists of words . One was : clouds , sunshine , hurricane . And the other : psychologist , doctor , lawyer .
Before the meeting , Mary wrote down the following lists of words . One was : cyclone , clouds , sunshine . And the other : floor , ceiling , room .
Before the meeting , Mary wrote down the following lists of words . One was : wind , cyclone , clouds . And the other : spoon , fork , pan .
Before the meeting , Mary wrote down the following lists of words . One was : storm , wind , cyclone . And the other : goldfish , cod , carp .
Before the meeting , Mary wrote down the following lists of words . One was : hail , storm , wind . And the other : cruiser , submarine , yacht .
Before the meeting , Mary wrote down the following lists of words . One was : snow , hail , storm . And the other : foot , nose , finger .
Before the meeting , Mary wrote down the following lists of words . One was : rain , snow , hail . And the other : physics , psychology , biology .
Before the meeting , Mary wrote down the following lists of words . One was : tornado , rain , snow . And the other : wrench , drill , screws .
Before the meeting , Mary wrote down the following lists of words . One was : oxygen , hydrogen , nitrogen . And the other : green , yellow , black .
Before the meeting , Mary wrote down the following lists of words . One was : potassium , oxygen , hydrogen . And the other : salesman , nurse , psychologist .
Before the meeting , Mary wrote down the following lists of words . One was : calcium , potassium , oxygen . And the other : wind , cyclone , clouds .
Before the meeting , Mary wrote down the following lists of words . One was : chlorine , calcium , potassium . And the other : psychology , biology , zoology .
Before the meeting , Mary wrote down the following lists of words . One was : helium , chlorine , calcium . And the other : vulture , robin , sparrow .
Before the meeting , Mary wrote down the following lists of words . One was : sulphur , helium , chlorine . And the other : denim , canvas , felt .
Before the meeting , Mary wrote down the following lists of words . One was : sodium , sulphur , helium . And the other : leg , arms , head .
Before the meeting , Mary wrote down the following lists of words . One was : carbon , sodium , sulphur . And the other : doctor , lawyer , teacher .
Before the meeting , Mary wrote down the following lists of words . One was : nitrogen , carbon , sodium . And the other : trumpet , violin , clarinet .
Before the meeting , Mary wrote down the following lists of words . One was : hydrogen , nitrogen , carbon . And the other : mouse , log , cat .
Before the meeting , Mary wrote down the following lists of words . One was : chemistry , physics , psychology . And the other : window , door , roof .
Before the meeting , Mary wrote down the following lists of words . One was : microbiology , chemistry , physics . And the other : velvet , denim , canvas .
Before the meeting , Mary wrote down the following lists of words . One was : geology , microbiology , chemistry . And the other : banana , peach , grape .
Before the meeting , Mary wrote down the following lists of words . One was : mathematics , geology , microbiology . And the other : basement , hearth , hall .
Before the meeting , Mary wrote down the following lists of words . One was : astronomy , mathematics , geology . And the other : door , roof , wall .
Before the meeting , Mary wrote down the following lists of words . One was : botany , astronomy , mathematics . And the other : fly , ant , bee .
Before the meeting , Mary wrote down the following lists of words . One was : zoology , botany , astronomy . And the other : level , plane , chisel .
Before the meeting , Mary wrote down the following lists of words . One was : biology , zoology , botany . And the other : cyclone , clouds , sunshine .
Before the meeting , Mary wrote down the following lists of words . One was : psychology , biology , zoology . And the other : knife , spoon , fork .
Before the meeting , Mary wrote down the following lists of words . One was : physics , psychology , biology . And the other : robin , sparrow , heron .
Before the meeting , Mary wrote down the following lists of words . One was : piano , drum , trumpet . And the other : badminton , football , baseball .
Before the meeting , Mary wrote down the following lists of words . One was : oboe , piano , drum . And the other : ear , hand , toe .
Before the meeting , Mary wrote down the following lists of words . One was : trombone , oboe , piano . And the other : cow , lion , tiger .
Before the meeting , Mary wrote down the following lists of words . One was : saxophone , trombone , oboe . And the other : beetle , wasp , moth .
Before the meeting , Mary wrote down the following lists of words . One was : guitar , saxophone , trombone . And the other : beetle , wasp , moth .
Before the meeting , Mary wrote down the following lists of words . One was : flute , guitar , saxophone . And the other : soccer , golf , hockey .
Before the meeting , Mary wrote down the following lists of words . One was : clarinet , flute , guitar . And the other : sulphur , helium , chlorine .
Before the meeting , Mary wrote down the following lists of words . One was : violin , clarinet , flute . And the other : cat , horse , cow .
Before the meeting , Mary wrote down the following lists of words . One was : trumpet , violin , clarinet . And the other : canvas , felt , cotton .
Before the meeting , Mary wrote down the following lists of words . One was : drum , trumpet , violin . And the other : trout , shark , herring .
Before the meeting , Mary wrote down the following lists of words . One was : knife , spoon , fork . And the other : blonde , blue , red .
Before the meeting , Mary wrote down the following lists of words . One was : dish , knife , spoon . And the other : hail , storm , wind .
Before the meeting , Mary wrote down the following lists of words . One was : cup , dish , knife . And the other : tiger , elephant , pig .
Before the meeting , Mary wrote down the following lists of words . One was : mixer , cup , dish . And the other : cotton , wool , silk .
Before the meeting , Mary wrote down the following lists of words . One was : bowl , mixer , cup . And the other : assault , arson , kidnapping .
Before the meeting , Mary wrote down the following lists of words . One was : stove , bowl , mixer . And the other : golf , hockey , lacrosse .
Before the meeting , Mary wrote down the following lists of words . One was : pot , stove , bowl . And the other : nitrogen , carbon , sodium .
Before the meeting , Mary wrote down the following lists of words . One was : pan , pot , stove . And the other : maple , pine , elm .
Before the meeting , Mary wrote down the following lists of words . One was : fork , pan , pot . And the other : arms , head , eye .
Before the meeting , Mary wrote down the following lists of words . One was : spoon , fork , pan . And the other : butterfly , fly , ant .
Before the meeting , Mary wrote down the following lists of words . One was : trout , shark , herring . And the other : destroyer , battleship , cruiser .
Before the meeting , Mary wrote down the following lists of words . One was : pike , trout , shark . And the other : lake , canyon , tundra .
Before the meeting , Mary wrote down the following lists of words . One was : carp , pike , trout . And the other : hurricane , tornado , rain .
Before the meeting , Mary wrote down the following lists of words . One was : cod , carp , pike . And the other : spider , beetle , wasp .
Before the meeting , Mary wrote down the following lists of words . One was : goldfish , cod , carp . And the other : purple , white , pink .
Before the meeting , Mary wrote down the following lists of words . One was : tuna , goldfish , cod . And the other : kidnapping , larceny , adultery .
Before the meeting , Mary wrote down the following lists of words . One was : salmon , tuna , goldfish . And the other : measles , tuberculosis , polio .
Before the meeting , Mary wrote down the following lists of words . One was : perch , salmon , tuna . And the other : fir , hickory , oak .
Before the meeting , Mary wrote down the following lists of words . One was : herring , perch , salmon . And the other : malaria , leukemia , pneumonia .
Before the meeting , Mary wrote down the following lists of words . One was : shark , herring , perch . And the other : socks , pants , shoes .
Before the meeting , Mary wrote down the following lists of words . One was : football , baseball , basketball . And the other : wasp , moth , flea .
Before the meeting , Mary wrote down the following lists of words . One was : badminton , football , baseball . And the other : chisel , ruler , wrench .
Before the meeting , Mary wrote down the following lists of words . One was : lacrosse , badminton , football . And the other : head , eye , foot .
Before the meeting , Mary wrote down the following lists of words . One was : hockey , lacrosse , badminton . And the other : hand , toe , leg .
Before the meeting , Mary wrote down the following lists of words . One was : golf , hockey , lacrosse . And the other : helium , chlorine , calcium .
Before the meeting , Mary wrote down the following lists of words . One was : soccer , golf , hockey . And the other : roof , wall , floor .
Before the meeting , Mary wrote down the following lists of words . One was : swimming , soccer , golf . And the other : murder , rape , robbery .
Before the meeting , Mary wrote down the following lists of words . One was : tennis , swimming , soccer . And the other : clouds , sunshine , hurricane .
Before the meeting , Mary wrote down the following lists of words . One was : basketball , tennis , swimming . And the other : submarine , yacht , canoe .
Before the meeting , Mary wrote down the following lists of words . One was : baseball , basketball , tennis . And the other : river , rock , lake .
Before the meeting , Mary wrote down the following lists of words . One was : doctor , lawyer , teacher . And the other : coat , dress , hat .
Before the meeting , Mary wrote down the following lists of words . One was : psychologist , doctor , lawyer . And the other : saw , nails , level .
Before the meeting , Mary wrote down the following lists of words . One was : nurse , psychologist , doctor . And the other : saxophone , trombone , oboe .
Before the meeting , Mary wrote down the following lists of words . One was : salesman , nurse , psychologist . And the other : sailboat , destroyer , battleship .
Before the meeting , Mary wrote down the following lists of words . One was : carpenter , salesman , nurse . And the other : room , basement , hearth .
Before the meeting , Mary wrote down the following lists of words . One was : professor , carpenter , salesman . And the other : log , cat , horse .
Before the meeting , Mary wrote down the following lists of words . One was : engineer , professor , carpenter . And the other : moth , flea , butterfly .
Before the meeting , Mary wrote down the following lists of words . One was : dentist , engineer , professor . And the other : bowl , mixer , cup .
Before the meeting , Mary wrote down the following lists of words . One was : teacher , dentist , engineer . And the other : biology , zoology , botany .
Before the meeting , Mary wrote down the following lists of words . One was : lawyer , teacher , dentist . And the other : hydrogen , nitrogen , carbon .
Before the meeting , Mary wrote down the following lists of words . One was : oak , maple , pine . And the other : freighter , tugboat , steamship .
Before the meeting , Mary wrote down the following lists of words . One was : hickory , oak , maple . And the other : carpenter , salesman , nurse .
Before the meeting , Mary wrote down the following lists of words . One was : fir , hickory , oak . And the other : storm , wind , cyclone .
Before the meeting , Mary wrote down the following lists of words . One was : walnut , fir , hickory . And the other : mosquito , spider , beetle .
Before the meeting , Mary wrote down the following lists of words . One was : redwood , walnut , fir . And the other : black , purple , white .
Before the meeting , Mary wrote down the following lists of words . One was : spruce , redwood , walnut . And the other : leukemia , pneumonia , smallpox .
Before the meeting , Mary wrote down the following lists of words . One was : birch , spruce , redwood . And the other : stove , bowl , mixer .
Before the meeting , Mary wrote down the following lists of words . One was : elm , birch , spruce . And the other : storm , wind , cyclone .
Before the meeting , Mary wrote down the following lists of words . One was : pine , elm , birch . And the other : crow , hawk , parrot .
Before the meeting , Mary wrote down the following lists of words . One was : maple , pine , elm . And the other : hawk , parrot , pigeon .
Before the meeting , Mary wrote down the following lists of words . One was : shirt , socks , pants . And the other : pneumonia , smallpox , influenza .
Before the meeting , Mary wrote down the following lists of words . One was : sweater , shirt , socks . And the other : chlorine , calcium , potassium .
Before the meeting , Mary wrote down the following lists of words . One was : hat , sweater , shirt . And the other : valley , river , rock .
Before the meeting , Mary wrote down the following lists of words . One was : dress , hat , sweater . And the other : horse , cow , lion .
Before the meeting , Mary wrote down the following lists of words . One was : coat , dress , hat . And the other : ocean , cave , mountain .
Before the meeting , Mary wrote down the following lists of words . One was : skirt , coat , dress . And the other : rayon , linen , satin .
Before the meeting , Mary wrote down the following lists of words . One was : blouse , skirt , coat . And the other : dish , knife , spoon .
Before the meeting , Mary wrote down the following lists of words . One was : shoes , blouse , skirt . And the other : tornado , rain , snow .
Before the meeting , Mary wrote down the following lists of words . One was : pants , shoes , blouse . And the other : lemon , apricot , apple .
Before the meeting , Mary wrote down the following lists of words . One was : socks , pants , shoes . And the other : birch , spruce , redwood .
Before the meeting , Mary wrote down the following lists of words . One was : cancer , measles , tuberculosis . And the other : hearth , hall , window .
Before the meeting , Mary wrote down the following lists of words . One was : encephalitis , cancer , measles . And the other : geology , microbiology , chemistry .
Before the meeting , Mary wrote down the following lists of words . One was : influenza , encephalitis , cancer . And the other : bee , mosquito , spider .
Before the meeting , Mary wrote down the following lists of words . One was : smallpox , influenza , encephalitis . And the other : robbery , theft , assault .
Before the meeting , Mary wrote down the following lists of words . One was : pneumonia , smallpox , influenza . And the other : mathematics , geology , microbiology .
Before the meeting , Mary wrote down the following lists of words . One was : leukemia , pneumonia , smallpox . And the other : battery , murder , rape .
Before the meeting , Mary wrote down the following lists of words . One was : malaria , leukemia , pneumonia . And the other : grapefruit , lemon , apricot .
Before the meeting , Mary wrote down the following lists of words . One was : polio , malaria , leukemia . And the other : sodium , sulphur , helium .
Before the meeting , Mary wrote down the following lists of words . One was : tuberculosis , polio , malaria . And the other : rape , robbery , theft .
Before the meeting , Mary wrote down the following lists of words . One was : measles , tuberculosis , polio . And the other : silk , rayon , linen .
Before the meeting , Mary wrote down the following lists of words . One was : mountain , hill , valley . And the other : encephalitis , cancer , measles .
Before the meeting , Mary wrote down the following lists of words . One was : cave , mountain , hill . And the other : hall , window , door .
Before the meeting , Mary wrote down the following lists of words . One was : ocean , cave , mountain . And the other : apple , pear , banana .
Before the meeting , Mary wrote down the following lists of words . One was : tundra , ocean , cave . And the other : salmon , tuna , goldfish .
Before the meeting , Mary wrote down the following lists of words . One was : canyon , tundra , ocean . And the other : eye , foot , nose .
Before the meeting , Mary wrote down the following lists of words . One was : lake , canyon , tundra . And the other : redwood , walnut , fir .
Before the meeting , Mary wrote down the following lists of words . One was : rock , lake , canyon . And the other : rain , snow , hail .
Before the meeting , Mary wrote down the following lists of words . One was : river , rock , lake . And the other : polio , malaria , leukemia .
Before the meeting , Mary wrote down the following lists of words . One was : valley , river , rock . And the other : pink , brown , blonde .
Before the meeting , Mary wrote down the following lists of words . One was : hill , valley , river . And the other : white , pink , brown .
Before the meeting , Mary wrote down the following lists of words . One was : murder , rape , robbery . And the other : wool , silk , rayon .
Before the meeting , Mary wrote down the following lists of words . One was : battery , murder , rape . And the other : snow , hail , storm .
Before the meeting , Mary wrote down the following lists of words . One was : adultery , battery , murder . And the other : teacher , dentist , engineer .
Before the meeting , Mary wrote down the following lists of words . One was : larceny , adultery , battery . And the other : mountain , hill , valley .
Before the meeting , Mary wrote down the following lists of words . One was : kidnapping , larceny , adultery . And the other : carbon , sodium , sulphur .
Before the meeting , Mary wrote down the following lists of words . One was : arson , kidnapping , larceny . And the other : ruler , wrench , drill .
Before the meeting , Mary wrote down the following lists of words . One was : assault , arson , kidnapping . And the other : sunshine , hurricane , tornado .
Before the meeting , Mary wrote down the following lists of words . One was : theft , assault , arson . And the other : rock , lake , canyon .
Before the meeting , Mary wrote down the following lists of words . One was : robbery , theft , assault . And the other : nose , finger , ear .
Before the meeting , Mary wrote down the following lists of words . One was : rape , robbery , theft . And the other : perch , salmon , tuna .
Before the meeting , Mary wrote down the following lists of words . One was : log , cat , horse . And the other : flea , butterfly , fly .
Before the meeting , Mary wrote down the following lists of words . One was : mouse , log , cat . And the other : battleship , cruiser , submarine .
Before the meeting , Mary wrote down the following lists of words . One was : bear , mouse , log . And the other : trombone , oboe , piano .
Before the meeting , Mary wrote down the following lists of words . One was : pig , bear , mouse . And the other : baseball , basketball , tennis .
Before the meeting , Mary wrote down the following lists of words . One was : elephant , pig , bear . And the other : drill , screws , hammer .
Before the meeting , Mary wrote down the following lists of words . One was : tiger , elephant , pig . And the other : blouse , skirt , coat .
Before the meeting , Mary wrote down the following lists of words . One was : lion , tiger , elephant . And the other : brown , blonde , blue .
Before the meeting , Mary wrote down the following lists of words . One was : cow , lion , tiger . And the other : piano , drum , trumpet .
Before the meeting , Mary wrote down the following lists of words . One was : horse , cow , lion . And the other : calcium , potassium , oxygen .
Before the meeting , Mary wrote down the following lists of words . One was : cat , horse , cow . And the other : botany , astronomy , mathematics .
Before the meeting , Mary wrote down the following lists of words . One was : fly , ant , bee . And the other : walnut , fir , hickory .
Before the meeting , Mary wrote down the following lists of words . One was : butterfly , fly , ant . And the other : nails , level , plane .
Before the meeting , Mary wrote down the following lists of words . One was : flea , butterfly , fly . And the other : tundra , ocean , cave .
Before the meeting , Mary wrote down the following lists of words . One was : moth , flea , butterfly . And the other : lion , tiger , elephant .
Before the meeting , Mary wrote down the following lists of words . One was : wasp , moth , flea . And the other : football , baseball , basketball .
Before the meeting , Mary wrote down the following lists of words . One was : beetle , wasp , moth . And the other : peach , grape , cherry .
Before the meeting , Mary wrote down the following lists of words . One was : spider , beetle , wasp . And the other : sweater , shirt , socks .
Before the meeting , Mary wrote down the following lists of words . One was : mosquito , spider , beetle . And the other : drum , trumpet , violin .
Before the meeting , Mary wrote down the following lists of words . One was : bee , mosquito , spider . And the other : eagle , crow , hawk .
Before the meeting , Mary wrote down the following lists of words . One was : ant , bee , mosquito . And the other : cherry , plum , grapefruit .
Before the meeting , Mary wrote down the following lists of words . One was : blue , red , green . And the other : guitar , saxophone , trombone .
Before the meeting , Mary wrote down the following lists of words . One was : blonde , blue , red . And the other : astronomy , mathematics , geology .
Before the meeting , Mary wrote down the following lists of words . One was : brown , blonde , blue . And the other : lacrosse , badminton , football .
Before the meeting , Mary wrote down the following lists of words . One was : pink , brown , blonde . And the other : canoe , freighter , tugboat .
Before the meeting , Mary wrote down the following lists of words . One was : white , pink , brown . And the other : canoe , freighter , tugboat .
Before the meeting , Mary wrote down the following lists of words . One was : purple , white , pink . And the other : shirt , socks , pants .
Before the meeting , Mary wrote down the following lists of words . One was : black , purple , white . And the other : tugboat , steamship , sailboat .
Before the meeting , Mary wrote down the following lists of words . One was : yellow , black , purple . And the other : professor , carpenter , salesman .
Before the meeting , Mary wrote down the following lists of words . One was : green , yellow , black . And the other : guitar , saxophone , trombone .
Before the meeting , Mary wrote down the following lists of words . One was : red , green , yellow . And the other : shirt , socks , pants .
Before the meeting , Mary wrote down the following lists of words . One was : cotton , wool , silk . And the other : spruce , redwood , walnut .
Before the meeting , Mary wrote down the following lists of words . One was : felt , cotton , wool . And the other : yellow , black , purple .
Before the meeting , Mary wrote down the following lists of words . One was : canvas , felt , cotton . And the other : yacht , canoe , freighter .
Before the meeting , Mary wrote down the following lists of words . One was : denim , canvas , felt . And the other : arson , kidnapping , larceny .
Before the meeting , Mary wrote down the following lists of words . One was : velvet , denim , canvas . And the other : arson , kidnapping , larceny .
Before the meeting , Mary wrote down the following lists of words . One was : satin , velvet , denim . And the other : pigeon , woodpecker , vulture .
Before the meeting , Mary wrote down the following lists of words . One was : linen , satin , velvet . And the other : pig , bear , mouse .
Before the meeting , Mary wrote down the following lists of words . One was : rayon , linen , satin . And the other : arson , kidnapping , larceny .
Before the meeting , Mary wrote down the following lists of words . One was : silk , rayon , linen . And the other : pig , bear , mouse .
Before the meeting , Mary wrote down the following lists of words . One was : wool , silk , rayon . And the other : zoology , botany , astronomy .
Before the meeting , Mary wrote down the following lists of words . One was : window , door , roof , wall , floor . And the other : sparrow , heron , eagle , crow , hawk .
Before the meeting , Mary wrote down the following lists of words . One was : hall , window , door , roof , wall . And the other : lawyer , teacher , dentist , engineer , professor .
Before the meeting , Mary wrote down the following lists of words . One was : hearth , hall , window , door , roof . And the other : canyon , tundra , ocean , cave , mountain .
Before the meeting , Mary wrote down the following lists of words . One was : basement , hearth , hall , window , door . And the other : hill , valley , river , rock , lake .
Before the meeting , Mary wrote down the following lists of words . One was : room , basement , hearth , hall , window . And the other : engineer , professor , carpenter , salesman , nurse .
Before the meeting , Mary wrote down the following lists of words . One was : ceiling , room , basement , hearth , hall . And the other : pike , trout , shark , herring , perch .
Before the meeting , Mary wrote down the following lists of words . One was : floor , ceiling , room , basement , hearth . And the other : plum , grapefruit , lemon , apricot , apple .
Before the meeting , Mary wrote down the following lists of words . One was : wall , floor , ceiling , room , basement . And the other : sparrow , heron , eagle , crow , hawk .
Before the meeting , Mary wrote down the following lists of words . One was : roof , wall , floor , ceiling , room . And the other : toe , leg , arms , head , eye .
Before the meeting , Mary wrote down the following lists of words . One was : door , roof , wall , floor , ceiling . And the other : basketball , tennis , swimming , soccer , golf .
Before the meeting , Mary wrote down the following lists of words . One was : leg , arms , head , eye , foot . And the other : swimming , soccer , golf , hockey , lacrosse .
Before the meeting , Mary wrote down the following lists of words . One was : toe , leg , arms , head , eye . And the other : potassium , oxygen , hydrogen , nitrogen , carbon .
Before the meeting , Mary wrote down the following lists of words . One was : hand , toe , leg , arms , head . And the other : pants , shoes , blouse , skirt , coat .
Before the meeting , Mary wrote down the following lists of words . One was : ear , hand , toe , leg , arms . And the other : herring , perch , salmon , tuna , goldfish .
Before the meeting , Mary wrote down the following lists of words . One was : finger , ear , hand , toe , leg . And the other : mixer , cup , dish , knife , spoon .
Before the meeting , Mary wrote down the following lists of words . One was : nose , finger , ear , hand , toe . And the other : nurse , psychologist , doctor , lawyer , teacher .
Before the meeting , Mary wrote down the following lists of words . One was : foot , nose , finger , ear , hand . And the other : linen , satin , velvet , denim , canvas .
Before the meeting , Mary wrote down the following lists of words . One was : eye , foot , nose , finger , ear . And the other : tennis , swimming , soccer , golf , hockey .
Before the meeting , Mary wrote down the following lists of words . One was : head , eye , foot , nose , finger . And the other : red , green , yellow , black , purple .
Before the meeting , Mary wrote down the following lists of words . One was : arms , head , eye , foot , nose . And the other : steamship , sailboat , destroyer , battleship , cruiser .
Before the meeting , Mary wrote down the following lists of words . One was : sailboat , destroyer , battleship , cruiser , submarine . And the other : oboe , piano , drum , trumpet , violin .
Before the meeting , Mary wrote down the following lists of words . One was : steamship , sailboat , destroyer , battleship , cruiser . And the other : influenza , encephalitis , cancer , measles , tuberculosis .
Before the meeting , Mary wrote down the following lists of words . One was : tugboat , steamship , sailboat , destroyer , battleship . And the other : flute , guitar , saxophone , trombone , oboe .
Before the meeting , Mary wrote down the following lists of words . One was : freighter , tugboat , steamship , sailboat , destroyer . And the other : bear , mouse , log , cat , horse .
Before the meeting , Mary wrote down the following lists of words . One was : canoe , freighter , tugboat , steamship , sailboat . And the other : wall , floor , ceiling , room , basement .
Before the meeting , Mary wrote down the following lists of words . One was : yacht , canoe , freighter , tugboat , steamship . And the other : plane , chisel , ruler , wrench , drill .
Before the meeting , Mary wrote down the following lists of words . One was : submarine , yacht , canoe , freighter , tugboat . And the other : parrot , pigeon , woodpecker , vulture , robin .
Before the meeting , Mary wrote down the following lists of words . One was : cruiser , submarine , yacht , canoe , freighter . And the other : apricot , apple , pear , banana , peach .
Before the meeting , Mary wrote down the following lists of words . One was : battleship , cruiser , submarine , yacht , canoe . And the other : blue , red , green , yellow , black .
Before the meeting , Mary wrote down the following lists of words . One was : destroyer , battleship , cruiser , submarine , yacht . And the other : ant , bee , mosquito , spider , beetle .
Before the meeting , Mary wrote down the following lists of words . One was : robin , sparrow , heron , eagle , crow . And the other : grape , cherry , plum , grapefruit , lemon .
Before the meeting , Mary wrote down the following lists of words . One was : vulture , robin , sparrow , heron , eagle . And the other : satin , velvet , denim , canvas , felt .
Before the meeting , Mary wrote down the following lists of words . One was : woodpecker , vulture , robin , sparrow , heron . And the other : shark , herring , perch , salmon , tuna .
Before the meeting , Mary wrote down the following lists of words . One was : pigeon , woodpecker , vulture , robin , sparrow . And the other : carp , pike , trout , shark , herring .
