,token,trialID,positionID,subtok,surp,ispunct,prefix,prompt,list_len,stimID,second_list
20,",",1,3,-1,0.16209939122200012,True,1,1,3,2,control
21, head,1,4,3,3.8700993061065674,False,1,1,3,2,control
22,.,1,5,-1,3.1499507427215576,True,1,1,3,2,control
23, And,2,0,1,4.3089070320129395,False,1,1,3,2,control
24, the,2,1,2,2.108275890350342,False,1,1,3,2,control
25, other,2,2,3,1.118639588356018,False,1,1,3,2,control
26,:,2,3,-1,2.8156962394714355,True,1,1,3,2,control
27, window,3,0,1,10.60688591003418,False,1,1,3,2,control
28,",",3,1,-1,0.34491607546806335,True,1,1,3,2,control
29, door,3,2,2,1.9861873388290405,False,1,1,3,2,control
30,",",3,3,-1,0.22471825778484344,True,1,1,3,2,control
31, roof,3,4,3,4.780850410461426,False,1,1,3,2,control
32,.,3,5,-1,1.0966752767562866,True,1,1,3,2,control
33,<|endoftext|>,3,6,-2,5.509881496429443,False,1,1,3,2,control
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,3,control
1, Before,0,1,2,12.528407096862793,False,1,1,3,3,control
2, the,0,2,3,2.4726693630218506,False,1,1,3,3,control
3, meeting,0,3,4,6.759095191955566,False,1,1,3,3,control
4,",",0,4,-1,0.9914171695709229,True,1,1,3,3,control
5, Mary,0,5,5,8.550304412841797,False,1,1,3,3,control
6, wrote,0,6,6,6.019630432128906,False,1,1,3,3,control
7, down,0,7,7,4.496373653411865,False,1,1,3,3,control
8, the,0,8,8,1.2372602224349976,False,1,1,3,3,control
9, following,0,9,9,4.111538410186768,False,1,1,3,3,control
10, lists,0,10,10,7.842437267303467,False,1,1,3,3,control
11, of,0,11,11,0.49632617831230164,False,1,1,3,3,control
12, words,0,12,12,6.3023152351379395,False,1,1,3,3,control
13,.,0,13,-1,2.9900951385498047,True,1,1,3,3,control
14, One,0,14,13,4.730581283569336,False,1,1,3,3,control
15, was,0,15,14,1.810640811920166,False,1,1,3,3,control
16,:,0,16,-1,3.6773507595062256,True,1,1,3,3,control
17, sail,1,0,1,12.76554012298584,False,1,1,3,3,control
18,boat,1,1,1,3.59622859954834,False,1,1,3,3,control
19,",",1,2,-1,0.9478244781494141,True,1,1,3,3,control
20, destroyer,1,3,2,7.676912307739258,False,1,1,3,3,control
21,",",1,4,-1,0.2032109647989273,True,1,1,3,3,control
22, battles,1,5,3,5.634990215301514,False,1,1,3,3,control
23,hip,1,6,3,0.0023068978916853666,False,1,1,3,3,control
24,.,1,7,-1,2.4307327270507812,True,1,1,3,3,control
25, And,2,0,1,4.836385250091553,False,1,1,3,3,control
26, the,2,1,2,1.9192194938659668,False,1,1,3,3,control
27, other,2,2,3,0.6887335181236267,False,1,1,3,3,control
28,:,2,3,-1,2.989396810531616,True,1,1,3,3,control
29, leg,3,0,1,9.800592422485352,False,1,1,3,3,control
30,",",3,1,-1,1.8918943405151367,True,1,1,3,3,control
31, arms,3,2,2,5.528309345245361,False,1,1,3,3,control
32,",",3,3,-1,0.17261461913585663,True,1,1,3,3,control
33, head,3,4,3,4.51962947845459,False,1,1,3,3,control
34,.,3,5,-1,2.1611990928649902,True,1,1,3,3,control
35,<|endoftext|>,3,6,-2,5.329816818237305,False,1,1,3,3,control
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,4,control
1, Before,0,1,2,12.528407096862793,False,1,1,3,4,control
2, the,0,2,3,2.4726693630218506,False,1,1,3,4,control
3, meeting,0,3,4,6.759095191955566,False,1,1,3,4,control
4,",",0,4,-1,0.9914171695709229,True,1,1,3,4,control
5, Mary,0,5,5,8.550304412841797,False,1,1,3,4,control
6, wrote,0,6,6,6.019630432128906,False,1,1,3,4,control
7, down,0,7,7,4.496373653411865,False,1,1,3,4,control
8, the,0,8,8,1.2372602224349976,False,1,1,3,4,control
9, following,0,9,9,4.111538410186768,False,1,1,3,4,control
10, lists,0,10,10,7.842437267303467,False,1,1,3,4,control
11, of,0,11,11,0.49632617831230164,False,1,1,3,4,control
12, words,0,12,12,6.3023152351379395,False,1,1,3,4,control
13,.,0,13,-1,2.9900951385498047,True,1,1,3,4,control
14, One,0,14,13,4.730581283569336,False,1,1,3,4,control
15, was,0,15,14,1.810640811920166,False,1,1,3,4,control
16,:,0,16,-1,3.6773507595062256,True,1,1,3,4,control
17, rob,1,0,1,11.351820945739746,False,1,1,3,4,control
18,in,1,1,1,2.897447347640991,False,1,1,3,4,control
19,",",1,2,-1,1.2889807224273682,True,1,1,3,4,control
20, sp,1,3,2,7.107674598693848,False,1,1,3,4,control
21,arrow,1,4,2,1.2646316289901733,False,1,1,3,4,control
22,",",1,5,-1,0.17133082449436188,True,1,1,3,4,control
23, her,1,6,3,7.687822341918945,False,1,1,3,4,control
24,on,1,7,3,1.466331958770752,False,1,1,3,4,control
25,.,1,8,-1,2.964078187942505,True,1,1,3,4,control
26, And,2,0,1,4.361498832702637,False,1,1,3,4,control
27, the,2,1,2,2.2108066082000732,False,1,1,3,4,control
28, other,2,2,3,1.1690796613693237,False,1,1,3,4,control
29,:,2,3,-1,3.0176424980163574,True,1,1,3,4,control
30, sail,3,0,1,9.09239387512207,False,1,1,3,4,control
31,boat,3,1,1,1.015826940536499,False,1,1,3,4,control
32,",",3,2,-1,0.3483406603336334,True,1,1,3,4,control
33, destroyer,3,3,2,6.880162715911865,False,1,1,3,4,control
34,",",3,4,-1,0.2389979213476181,True,1,1,3,4,control
35, battles,3,5,3,6.6701836585998535,False,1,1,3,4,control
36,hip,3,6,3,0.0021962826140224934,False,1,1,3,4,control
37,.,3,7,-1,1.091994285583496,True,1,1,3,4,control
38,<|endoftext|>,3,8,-2,5.129034042358398,False,1,1,3,4,control
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,5,control
1, Before,0,1,2,12.528407096862793,False,1,1,3,5,control
2, the,0,2,3,2.4726693630218506,False,1,1,3,5,control
3, meeting,0,3,4,6.759095191955566,False,1,1,3,5,control
4,",",0,4,-1,0.9914171695709229,True,1,1,3,5,control
5, Mary,0,5,5,8.550304412841797,False,1,1,3,5,control
6, wrote,0,6,6,6.019630432128906,False,1,1,3,5,control
7, down,0,7,7,4.496373653411865,False,1,1,3,5,control
8, the,0,8,8,1.2372602224349976,False,1,1,3,5,control
9, following,0,9,9,4.111538410186768,False,1,1,3,5,control
10, lists,0,10,10,7.842437267303467,False,1,1,3,5,control
11, of,0,11,11,0.49632617831230164,False,1,1,3,5,control
12, words,0,12,12,6.3023152351379395,False,1,1,3,5,control
13,.,0,13,-1,2.9900951385498047,True,1,1,3,5,control
14, One,0,14,13,4.730581283569336,False,1,1,3,5,control
15, was,0,15,14,1.810640811920166,False,1,1,3,5,control
16,:,0,16,-1,3.6773507595062256,True,1,1,3,5,control
17, apple,1,0,1,11.000777244567871,False,1,1,3,5,control
18,",",1,1,-1,1.0951318740844727,True,1,1,3,5,control
19, pear,1,2,2,5.124279499053955,False,1,1,3,5,control
20,",",1,3,-1,0.12904857099056244,True,1,1,3,5,control
21, banana,1,4,3,4.536377906799316,False,1,1,3,5,control
22,.,1,5,-1,2.7637505531311035,True,1,1,3,5,control
23, And,2,0,1,4.340204238891602,False,1,1,3,5,control
24, the,2,1,2,2.0710620880126953,False,1,1,3,5,control
25, other,2,2,3,1.1280852556228638,False,1,1,3,5,control
26,:,2,3,-1,2.906385898590088,True,1,1,3,5,control
27, rob,3,0,1,9.087244033813477,False,1,1,3,5,control
28,in,3,1,1,0.44276076555252075,False,1,1,3,5,control
29,",",3,2,-1,0.42067235708236694,True,1,1,3,5,control
30, sp,3,3,2,6.626256465911865,False,1,1,3,5,control
31,arrow,3,4,2,0.5124744176864624,False,1,1,3,5,control
32,",",3,5,-1,0.2621689736843109,True,1,1,3,5,control
33, her,3,6,3,8.02747917175293,False,1,1,3,5,control
34,on,3,7,3,0.9386911988258362,False,1,1,3,5,control
35,.,3,8,-1,1.2935339212417603,True,1,1,3,5,control
36,<|endoftext|>,3,9,-2,5.2767486572265625,False,1,1,3,5,control
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,6,control
1, Before,0,1,2,12.528407096862793,False,1,1,3,6,control
2, the,0,2,3,2.4726693630218506,False,1,1,3,6,control
3, meeting,0,3,4,6.759095191955566,False,1,1,3,6,control
4,",",0,4,-1,0.9914171695709229,True,1,1,3,6,control
5, Mary,0,5,5,8.550304412841797,False,1,1,3,6,control
6, wrote,0,6,6,6.019630432128906,False,1,1,3,6,control
7, down,0,7,7,4.496373653411865,False,1,1,3,6,control
8, the,0,8,8,1.2372602224349976,False,1,1,3,6,control
9, following,0,9,9,4.111538410186768,False,1,1,3,6,control
10, lists,0,10,10,7.842437267303467,False,1,1,3,6,control
11, of,0,11,11,0.49632617831230164,False,1,1,3,6,control
12, words,0,12,12,6.3023152351379395,False,1,1,3,6,control
13,.,0,13,-1,2.9900951385498047,True,1,1,3,6,control
14, One,0,14,13,4.730581283569336,False,1,1,3,6,control
15, was,0,15,14,1.810640811920166,False,1,1,3,6,control
16,:,0,16,-1,3.6773507595062256,True,1,1,3,6,control
17, hammer,1,0,1,13.477011680603027,False,1,1,3,6,control
18,",",1,1,-1,0.8984118103981018,True,1,1,3,6,control
19, saw,1,2,2,6.464651107788086,False,1,1,3,6,control
20,",",1,3,-1,0.1384255737066269,True,1,1,3,6,control
21, nails,1,4,3,6.297935962677002,False,1,1,3,6,control
22,.,1,5,-1,2.855109214782715,True,1,1,3,6,control
23, And,2,0,1,4.55997896194458,False,1,1,3,6,control
24, the,2,1,2,2.1303348541259766,False,1,1,3,6,control
25, other,2,2,3,0.9736127853393555,False,1,1,3,6,control
26,:,2,3,-1,2.8433969020843506,True,1,1,3,6,control
27, apple,3,0,1,6.9015092849731445,False,1,1,3,6,control
28,",",3,1,-1,0.5707308053970337,True,1,1,3,6,control
29, pear,3,2,2,4.295685768127441,False,1,1,3,6,control
30,",",3,3,-1,0.14599575102329254,True,1,1,3,6,control
31, banana,3,4,3,5.317076683044434,False,1,1,3,6,control
32,.,3,5,-1,1.4599432945251465,True,1,1,3,6,control
33,<|endoftext|>,3,6,-2,5.1806135177612305,False,1,1,3,6,control
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,7,control
1, Before,0,1,2,12.528407096862793,False,1,1,3,7,control
2, the,0,2,3,2.4726693630218506,False,1,1,3,7,control
3, meeting,0,3,4,6.759095191955566,False,1,1,3,7,control
4,",",0,4,-1,0.9914171695709229,True,1,1,3,7,control
5, Mary,0,5,5,8.550304412841797,False,1,1,3,7,control
6, wrote,0,6,6,6.019630432128906,False,1,1,3,7,control
7, down,0,7,7,4.496373653411865,False,1,1,3,7,control
8, the,0,8,8,1.2372602224349976,False,1,1,3,7,control
9, following,0,9,9,4.111538410186768,False,1,1,3,7,control
10, lists,0,10,10,7.842437267303467,False,1,1,3,7,control
11, of,0,11,11,0.49632617831230164,False,1,1,3,7,control
12, words,0,12,12,6.3023152351379395,False,1,1,3,7,control
13,.,0,13,-1,2.9900951385498047,True,1,1,3,7,control
14, One,0,14,13,4.730581283569336,False,1,1,3,7,control
15, was,0,15,14,1.810640811920166,False,1,1,3,7,control
16,:,0,16,-1,3.6773507595062256,True,1,1,3,7,control
17, hurricane,1,0,1,13.215258598327637,False,1,1,3,7,control
18,",",1,1,-1,0.6935707330703735,True,1,1,3,7,control
19, tornado,1,2,2,4.6388840675354,False,1,1,3,7,control
20,",",1,3,-1,0.09950212389230728,True,1,1,3,7,control
21, rain,1,4,3,4.439187049865723,False,1,1,3,7,control
22,.,1,5,-1,2.9694600105285645,True,1,1,3,7,control
23, And,2,0,1,4.011836528778076,False,1,1,3,7,control
24, the,2,1,2,2.0263123512268066,False,1,1,3,7,control
25, other,2,2,3,1.1360341310501099,False,1,1,3,7,control
26,:,2,3,-1,2.8047804832458496,True,1,1,3,7,control
27, hammer,3,0,1,8.951191902160645,False,1,1,3,7,control
28,",",3,1,-1,0.7449386715888977,True,1,1,3,7,control
29, saw,3,2,2,6.009978771209717,False,1,1,3,7,control
30,",",3,3,-1,0.11043260991573334,True,1,1,3,7,control
31, nails,3,4,3,6.842889785766602,False,1,1,3,7,control
32,.,3,5,-1,1.5239375829696655,True,1,1,3,7,control
33,<|endoftext|>,3,6,-2,5.218393325805664,False,1,1,3,7,control
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,8,control
1, Before,0,1,2,12.528407096862793,False,1,1,3,8,control
2, the,0,2,3,2.4726693630218506,False,1,1,3,8,control
3, meeting,0,3,4,6.759095191955566,False,1,1,3,8,control
4,",",0,4,-1,0.9914171695709229,True,1,1,3,8,control
5, Mary,0,5,5,8.550304412841797,False,1,1,3,8,control
6, wrote,0,6,6,6.019630432128906,False,1,1,3,8,control
7, down,0,7,7,4.496373653411865,False,1,1,3,8,control
8, the,0,8,8,1.2372602224349976,False,1,1,3,8,control
9, following,0,9,9,4.111538410186768,False,1,1,3,8,control
10, lists,0,10,10,7.842437267303467,False,1,1,3,8,control
11, of,0,11,11,0.49632617831230164,False,1,1,3,8,control
12, words,0,12,12,6.3023152351379395,False,1,1,3,8,control
13,.,0,13,-1,2.9900951385498047,True,1,1,3,8,control
14, One,0,14,13,4.730581283569336,False,1,1,3,8,control
15, was,0,15,14,1.810640811920166,False,1,1,3,8,control
16,:,0,16,-1,3.6773507595062256,True,1,1,3,8,control
17, oxygen,1,0,1,12.756823539733887,False,1,1,3,8,control
18,",",1,1,-1,0.914488673210144,True,1,1,3,8,control
19, hydrogen,1,2,2,4.963624000549316,False,1,1,3,8,control
20,",",1,3,-1,0.2720853090286255,True,1,1,3,8,control
21, nitrogen,1,4,3,2.9611122608184814,False,1,1,3,8,control
22,.,1,5,-1,2.4837963581085205,True,1,1,3,8,control
23, And,2,0,1,4.852228164672852,False,1,1,3,8,control
24, the,2,1,2,2.161445140838623,False,1,1,3,8,control
25, other,2,2,3,1.3225181102752686,False,1,1,3,8,control
26,:,2,3,-1,2.9661598205566406,True,1,1,3,8,control
27, hurricane,3,0,1,10.610032081604004,False,1,1,3,8,control
28,",",3,1,-1,1.0292919874191284,True,1,1,3,8,control
29, tornado,3,2,2,3.2905542850494385,False,1,1,3,8,control
30,",",3,3,-1,0.12026216089725494,True,1,1,3,8,control
31, rain,3,4,3,4.546169281005859,False,1,1,3,8,control
32,.,3,5,-1,1.4958827495574951,True,1,1,3,8,control
33,<|endoftext|>,3,6,-2,5.178707122802734,False,1,1,3,8,control
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,9,control
1, Before,0,1,2,12.528407096862793,False,1,1,3,9,control
2, the,0,2,3,2.4726693630218506,False,1,1,3,9,control
3, meeting,0,3,4,6.759095191955566,False,1,1,3,9,control
4,",",0,4,-1,0.9914171695709229,True,1,1,3,9,control
5, Mary,0,5,5,8.550304412841797,False,1,1,3,9,control
6, wrote,0,6,6,6.019630432128906,False,1,1,3,9,control
7, down,0,7,7,4.496373653411865,False,1,1,3,9,control
8, the,0,8,8,1.2372602224349976,False,1,1,3,9,control
9, following,0,9,9,4.111538410186768,False,1,1,3,9,control
10, lists,0,10,10,7.842437267303467,False,1,1,3,9,control
11, of,0,11,11,0.49632617831230164,False,1,1,3,9,control
12, words,0,12,12,6.3023152351379395,False,1,1,3,9,control
13,.,0,13,-1,2.9900951385498047,True,1,1,3,9,control
14, One,0,14,13,4.730581283569336,False,1,1,3,9,control
15, was,0,15,14,1.810640811920166,False,1,1,3,9,control
16,:,0,16,-1,3.6773507595062256,True,1,1,3,9,control
17, chemistry,1,0,1,12.928801536560059,False,1,1,3,9,control
18,",",1,1,-1,0.820249617099762,True,1,1,3,9,control
19, physics,1,2,2,4.398777008056641,False,1,1,3,9,control
20,",",1,3,-1,0.1445472240447998,True,1,1,3,9,control
21, psychology,1,4,3,3.876737356185913,False,1,1,3,9,control
22,.,1,5,-1,2.5112757682800293,True,1,1,3,9,control
23, And,2,0,1,4.594203472137451,False,1,1,3,9,control
24, the,2,1,2,2.0778987407684326,False,1,1,3,9,control
25, other,2,2,3,1.2345632314682007,False,1,1,3,9,control
26,:,2,3,-1,3.130636692047119,True,1,1,3,9,control
27, oxygen,3,0,1,10.241294860839844,False,1,1,3,9,control
28,",",3,1,-1,0.6749289035797119,True,1,1,3,9,control
29, hydrogen,3,2,2,3.626399278640747,False,1,1,3,9,control
30,",",3,3,-1,0.14278443157672882,True,1,1,3,9,control
31, nitrogen,3,4,3,2.2173311710357666,False,1,1,3,9,control
32,.,3,5,-1,1.7082782983779907,True,1,1,3,9,control
33,<|endoftext|>,3,6,-2,5.345258712768555,False,1,1,3,9,control
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,10,control
1, Before,0,1,2,12.528407096862793,False,1,1,3,10,control
2, the,0,2,3,2.4726693630218506,False,1,1,3,10,control
3, meeting,0,3,4,6.759095191955566,False,1,1,3,10,control
4,",",0,4,-1,0.9914171695709229,True,1,1,3,10,control
5, Mary,0,5,5,8.550304412841797,False,1,1,3,10,control
6, wrote,0,6,6,6.019630432128906,False,1,1,3,10,control
7, down,0,7,7,4.496373653411865,False,1,1,3,10,control
8, the,0,8,8,1.2372602224349976,False,1,1,3,10,control
9, following,0,9,9,4.111538410186768,False,1,1,3,10,control
10, lists,0,10,10,7.842437267303467,False,1,1,3,10,control
11, of,0,11,11,0.49632617831230164,False,1,1,3,10,control
12, words,0,12,12,6.3023152351379395,False,1,1,3,10,control
13,.,0,13,-1,2.9900951385498047,True,1,1,3,10,control
14, One,0,14,13,4.730581283569336,False,1,1,3,10,control
15, was,0,15,14,1.810640811920166,False,1,1,3,10,control
16,:,0,16,-1,3.6773507595062256,True,1,1,3,10,control
17, piano,1,0,1,11.85761547088623,False,1,1,3,10,control
18,",",1,1,-1,0.806073009967804,True,1,1,3,10,control
19, drum,1,2,2,6.051253318786621,False,1,1,3,10,control
20,",",1,3,-1,0.4659866690635681,True,1,1,3,10,control
21, trumpet,1,4,3,3.5095202922821045,False,1,1,3,10,control
22,.,1,5,-1,2.7684261798858643,True,1,1,3,10,control
23, And,2,0,1,4.745489120483398,False,1,1,3,10,control
24, the,2,1,2,1.990829586982727,False,1,1,3,10,control
25, other,2,2,3,0.934922993183136,False,1,1,3,10,control
26,:,2,3,-1,3.0126705169677734,True,1,1,3,10,control
27, chemistry,3,0,1,9.24234676361084,False,1,1,3,10,control
28,",",3,1,-1,0.6064581871032715,True,1,1,3,10,control
29, physics,3,2,2,3.8953418731689453,False,1,1,3,10,control
30,",",3,3,-1,0.12884244322776794,True,1,1,3,10,control
31, psychology,3,4,3,3.9898457527160645,False,1,1,3,10,control
32,.,3,5,-1,1.3779830932617188,True,1,1,3,10,control
33,<|endoftext|>,3,6,-2,5.675804138183594,False,1,1,3,10,control
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,11,control
1, Before,0,1,2,12.528407096862793,False,1,1,3,11,control
2, the,0,2,3,2.4726693630218506,False,1,1,3,11,control
3, meeting,0,3,4,6.759095191955566,False,1,1,3,11,control
4,",",0,4,-1,0.9914171695709229,True,1,1,3,11,control
5, Mary,0,5,5,8.550304412841797,False,1,1,3,11,control
6, wrote,0,6,6,6.019630432128906,False,1,1,3,11,control
7, down,0,7,7,4.496373653411865,False,1,1,3,11,control
8, the,0,8,8,1.2372602224349976,False,1,1,3,11,control
9, following,0,9,9,4.111538410186768,False,1,1,3,11,control
10, lists,0,10,10,7.842437267303467,False,1,1,3,11,control
11, of,0,11,11,0.49632617831230164,False,1,1,3,11,control
12, words,0,12,12,6.3023152351379395,False,1,1,3,11,control
13,.,0,13,-1,2.9900951385498047,True,1,1,3,11,control
14, One,0,14,13,4.730581283569336,False,1,1,3,11,control
15, was,0,15,14,1.810640811920166,False,1,1,3,11,control
16,:,0,16,-1,3.6773507595062256,True,1,1,3,11,control
17, knife,1,0,1,12.464381217956543,False,1,1,3,11,control
18,",",1,1,-1,0.8536965250968933,True,1,1,3,11,control
19, spoon,1,2,2,6.766407012939453,False,1,1,3,11,control
20,",",1,3,-1,0.13905595242977142,True,1,1,3,11,control
21, fork,1,4,3,3.7709264755249023,False,1,1,3,11,control
22,.,1,5,-1,2.433431386947632,True,1,1,3,11,control
23, And,2,0,1,4.476251602172852,False,1,1,3,11,control
24, the,2,1,2,2.1127920150756836,False,1,1,3,11,control
25, other,2,2,3,1.0670008659362793,False,1,1,3,11,control
26,:,2,3,-1,2.670318841934204,True,1,1,3,11,control
27, piano,3,0,1,8.746936798095703,False,1,1,3,11,control
28,",",3,1,-1,0.5016434788703918,True,1,1,3,11,control
29, drum,3,2,2,4.067420959472656,False,1,1,3,11,control
30,",",3,3,-1,0.4131884276866913,True,1,1,3,11,control
31, trumpet,3,4,3,4.044151306152344,False,1,1,3,11,control
32,.,3,5,-1,1.2860352993011475,True,1,1,3,11,control
33,<|endoftext|>,3,6,-2,5.2437262535095215,False,1,1,3,11,control
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,12,control
1, Before,0,1,2,12.528407096862793,False,1,1,3,12,control
2, the,0,2,3,2.4726693630218506,False,1,1,3,12,control
3, meeting,0,3,4,6.759095191955566,False,1,1,3,12,control
4,",",0,4,-1,0.9914171695709229,True,1,1,3,12,control
5, Mary,0,5,5,8.550304412841797,False,1,1,3,12,control
6, wrote,0,6,6,6.019630432128906,False,1,1,3,12,control
7, down,0,7,7,4.496373653411865,False,1,1,3,12,control
8, the,0,8,8,1.2372602224349976,False,1,1,3,12,control
9, following,0,9,9,4.111538410186768,False,1,1,3,12,control
10, lists,0,10,10,7.842437267303467,False,1,1,3,12,control
11, of,0,11,11,0.49632617831230164,False,1,1,3,12,control
12, words,0,12,12,6.3023152351379395,False,1,1,3,12,control
13,.,0,13,-1,2.9900951385498047,True,1,1,3,12,control
14, One,0,14,13,4.730581283569336,False,1,1,3,12,control
15, was,0,15,14,1.810640811920166,False,1,1,3,12,control
16,:,0,16,-1,3.6773507595062256,True,1,1,3,12,control
17, trout,1,0,1,13.485541343688965,False,1,1,3,12,control
18,",",1,1,-1,0.9656166434288025,True,1,1,3,12,control
19, shark,1,2,2,7.9438018798828125,False,1,1,3,12,control
20,",",1,3,-1,0.15513119101524353,True,1,1,3,12,control
21, her,1,4,3,7.628674030303955,False,1,1,3,12,control
22,ring,1,5,3,0.3812495172023773,False,1,1,3,12,control
23,.,1,6,-1,3.4080307483673096,True,1,1,3,12,control
24, And,2,0,1,4.679878234863281,False,1,1,3,12,control
25, the,2,1,2,2.1523494720458984,False,1,1,3,12,control
26, other,2,2,3,1.1239691972732544,False,1,1,3,12,control
27,:,2,3,-1,3.0269851684570312,True,1,1,3,12,control
28, knife,3,0,1,8.168889999389648,False,1,1,3,12,control
29,",",3,1,-1,0.6052001714706421,True,1,1,3,12,control
30, spoon,3,2,2,7.135384559631348,False,1,1,3,12,control
31,",",3,3,-1,0.12797486782073975,True,1,1,3,12,control
32, fork,3,4,3,3.5181987285614014,False,1,1,3,12,control
33,.,3,5,-1,1.310530185699463,True,1,1,3,12,control
34,<|endoftext|>,3,6,-2,5.280517578125,False,1,1,3,12,control
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,13,control
1, Before,0,1,2,12.528407096862793,False,1,1,3,13,control
2, the,0,2,3,2.4726693630218506,False,1,1,3,13,control
3, meeting,0,3,4,6.759095191955566,False,1,1,3,13,control
4,",",0,4,-1,0.9914171695709229,True,1,1,3,13,control
5, Mary,0,5,5,8.550304412841797,False,1,1,3,13,control
6, wrote,0,6,6,6.019630432128906,False,1,1,3,13,control
7, down,0,7,7,4.496373653411865,False,1,1,3,13,control
8, the,0,8,8,1.2372602224349976,False,1,1,3,13,control
9, following,0,9,9,4.111538410186768,False,1,1,3,13,control
10, lists,0,10,10,7.842437267303467,False,1,1,3,13,control
11, of,0,11,11,0.49632617831230164,False,1,1,3,13,control
12, words,0,12,12,6.3023152351379395,False,1,1,3,13,control
13,.,0,13,-1,2.9900951385498047,True,1,1,3,13,control
14, One,0,14,13,4.730581283569336,False,1,1,3,13,control
15, was,0,15,14,1.810640811920166,False,1,1,3,13,control
16,:,0,16,-1,3.6773507595062256,True,1,1,3,13,control
17, football,1,0,1,11.542571067810059,False,1,1,3,13,control
18,",",1,1,-1,0.9298807978630066,True,1,1,3,13,control
19, baseball,1,2,2,3.9775021076202393,False,1,1,3,13,control
20,",",1,3,-1,0.16645096242427826,True,1,1,3,13,control
