word	imagery	k-f freq	concreteness
CLIMATE	5.2	26	5
CLOSET	5.8	16	6.5
CLOTHING	6.2	20	6.4
CLUSTER	4.3	13	4.5
COFFEE	6.4	78	6.7
COLLAR	6	17	6.3
COLLEGE	6	267	6.1
COLONEL	4.5	37	6.4
COLOUR	5.2	141	5.5
COLUMN	4.9	71	5.6
COMMERCE	2.8	58	4.1
COMPASS	5.8	13	6.6
COMPOUND	2.7	11	3.3
COMRADE	4.2	4	5.2
CONCERT	5.9	39	6.3
CONGRESS	3.6	152	5
CONQUEST	4.6	9	4.7
CONTENTS	3.2	16	3.6
CONTEST	3.9	26	4.8
CONTRACT	4.6	60	5
COPY	4.2	38	5
CORNER	5.8	115	6.1
COSTUME	5.7	10	6
COTTAGE	6.3	19	6.9
COTTON	6.2	38	6.7
COUNTRY	5.8	324	5.1
COUNTY	4	155	5.4
COUPLE	6.3	122	5.9
COURAGE	3.8	32	3.1
COUSIN	5.8	51	6.3
CREATURE	4.4	15	5
CREDIT	2.7	64	3.3
CRYSTAL	5.8	23	6.1
CULTURE	4.4	58	3.4
CURRENT	3.1	104	3.8
CUSTOM	2.7	14	3.2
DANGER	4.9	70	3.8
DARKNESS	6.4	43	4.6
DAUGHTER	5.7	72	6.5
DAYLIGHT	6.5	15	6.2
DEALER	4.2	25	5.7
DEGREE	3	125	3.4
DESPAIR	4.3	21	2.8
DETAIL	2.9	72	4.1
DEVICE	3.2	55	4.6
DEVIL	5.8	25	3.9
DIAMOND	6.6	8	6.6
DIET	3.7	21	4.6
DINNER	6.1	91	6.3
DISEASE	4.8	53	5.1
DISTANCE	4.7	108	4.1
DISTRICT	3.3	135	4.3
DOLLAR	6.6	46	6.6
DOORWAY	5.8	15	6.7
DOUBLE	4.6	56	4.7
DRAGON	6.2	1	5.9
DUTY	3.3	61	3.2
EAGLE	6.3	5	6.9
ECHO	4.7	10	4.6
EFFECT	2.4	213	3
EFFORT	3.6	145	2.9
ELBOW	6	10	6.8
ELDER	5.2	15	5.1
EMPIRE	4.4	22	5
ENGINE	6.4	50	6.6
ERRAND	3.9	7	4.5
ESTATE	5.8	51	6
EVENING	5.8	133	5.2
EVENT	3.3	81	4.7
EXCESS	3.6	42	3.2
EXTENT	2	110	2.8
FABRIC	5.5	15	6.4
FACTOR	2.2	71	3.7
FAILURE	2.7	89	3.1
FARMER	6.2	23	6.6
FATHER	2.4	183	3.2
FEATHER	6.2	6	6.5
FEATURE	3.4	37	3.8
FEELING	3.8	172	2.1
FEVER	5	19	4.7
FIGURE	5.5	20	5.3
FINGER	6.3	40	6.9
FLAVOR	3.5	16	4.6
FOLLY	2.1	10	2.6
FOOTBALL	6.7	36	6.9
FOREHEAD	6.3	16	6.9
FOREST	6.6	66	6.7
FORTUNE	3.9	25	3.5
FOUNTAIN	6.4	18	6.6
FRONTIER	5.2	30	4.9
FUNERAL	5.9	33	6.4
FURY	4.6	19	3.3
FUTURE	3.5	227	3.5
GARDEN	6.5	60	6.5
GARMENT	5.4	6	6.6
GENIUS	4.9	23	3.8
GESTURE	5.1	32	4.5
GODDESS	4.6	3	4
GOODBYE	4.8	6	3.6
HABIT	3.1	23	3.9
HAMMER	6.5	9	6.8
HARBOUR	6.2	37	6.4
HARNESS	5.5	10	6.2
HARVEST	5.7	12	5.8
HATRED	4.5	20	3
HEAVEN	5	43	2.5
HELMET	5.9	1	6.8
HERALD	2.7	11	4.4
HERO		52	4.7
HIGHWAY	6.4	40	5.7
HORROR	5	17	3.3
HOTEL	6.5	126	6.8
HUNTER	6.1	18	6.3
HUSBAND	5.9	131	6.1
ILLNESS	4.5	20	5
IMAGE	3.9	119	3.7
INCOME	3.4	109	5.1
INSECT	6.3	14	6.7
INSTANT	3	38	3
INTEREST	3.2	330	3.3
IRON	6.1	43	6.7
ISLAND	6.6	167	6.6
JACKET	6.3	33	6.6
JERSEY	5	25	5.9
JEWEL	6	1	6.4
JOURNAL	4.8	42	6.4
JOURNEY	4.9	28	5
JUDGMENT	3	60	2.9
JUSTICE	3.8	114	3.1
KEEPER	3.3	3	5.3
KINDNESS	4.4	5	3.1
KINGDOM	4.8	26	4.8
KITCHEN	6.3	90	6.8
KITTEN	6.4	5	7
LADY	6.4	80	6
LANGUAGE	3.9	109	4.9
LAUGHTER	6.1	22	5.4
LAWYER	5.9	43	6.7
LAYER	3.8	12	4.6
LEADER	5.2	74	5.2
LEARNING	3.9	60	3.6
LEATHER	5.7	24	6.8
LECTURE	6	16	5.5
LEGEND	3.8	26	3.9
LEMON	6.5	18	6.8
LETTER	6.2	145	6.2
LEVEL	3.5	213	4
LILY	5.9	1	6.7
LIMIT	2.5	48	2.7
LINEN	6.1	6	6.6
LION	6.7	17	7
LIQUID	5.4	48	6.1
LIQUOR	6.5	43	6.7
LOVER	6.2	19	4.8
LUMBER	6.1	35	6.8
LUNCHEON	5.4	23	6
MACHINE	6	103	6.6
MADAM	6.5	2	5.7
MAIDEN	5.4	2	5.7
MAJOR	3.6	247	3.9
MAKER	2.8	12	3.9
MANNER	2.5	124	2.9
MARBLE	5.9	21	6.4
MARKET	5.6	155	6.1
MARRIAGE	5.6	95	4.2
MASTER	4.1	72	5.2
MATTER	2.7	308	3.9
MAYOR	5.4	38	6.6
MEADOW	6.1	17	5.9
MEANING	2.1	127	2.8
MEANTIME	1.7	12	2.3
MEETING	4.6	159	5
MEMBER	3.1	137	5.2
MERCHANT	5.1	20	6.2
MERCY	3	20	3.1
MERIT	2.7	29	3.1
MESSAGE	4.7	64	4.8
METAL	5.6	61	6.6
METHOD	2.3	142	4
MILLION	5.6	204	5
MINUTE	4.5	53	4.7
MIRROR	6.4	27	6.7
MISCHIEF	3.9	5	3.6
MISSION	3.3	78	3.9
MISTAKE	3.4	34	4
MISTRESS	5.2	5	5.7
MIXTURE	3.7	30	4.2
MODEL	4.9	77	5.5
MOISTURE	5.3	10	5.5
MOMENT	2.2	246	3
MONARCH	5.1	3	5.9
MONEY	6.4	265	6.3
MONKEY	6.5	9	6.9
MONSTER	6	6	5.3
MOTHER	6.4	216	6.6
MOTION	4.4	55	4
MOTIVE	2.6	22	2.6
MOTOR	5.8	56	6.5
MOUNTAIN	6.6	33	6.7
MOVIE	6.1	29	6.4
MUSCLE	6	42	6.5
MUSIC	6.1	216	5.3
NATION	4.2	139	4.9
NAVY	5.9	37	6.4
NEEDLE	6.4	15	6.6
NEPHEW	5	9	6.4
NOTHING	3.5	412	3
NOTION	2.1	40	2.4
NOVEL	5.7	59	6
NUMBER	5.9	472	5.6
OBJECT	3.6	65	5.1
OCEAN	6.7	34	6.5
ODOR	5.1	14	5
OFFENCE	3	8	3.9
OLIVE	6.1	5	6.8
ONION	6.5	15	6.7
OPERA	6.1	47	6
ORANGE	6.6	23	6.1
ORCHARD	6.4	3	6.4
ORGAN	5.9	12	6.6
OUTLINE	3.9	12	4.6
OVEN	6	7	6.9
OWNER	4.4	33	6
OYSTER	5.8	6	6.8
PACKAGE	5.8	20	6.5
PAINTER	6	21	6.7
PAINTING	6.4	59	6
PALACE	6.3	38	6.2
PAPER	6.1	157	6.9
PARCEL	6.3	1	6.5
PARENT	6.3	15	6.2
PARLOR	5.5	18	6
PARTNER	5.4	32	5.7
PARTY	6.4	216	5.7
PASSION	5.1	28	3
PASTURE	6.2	14	6
PATENT	2.3	35	4.7
PATIENCE	3.4	22	2.6
PATIENT	4.3	86	4.9
PATTERN	4.8	113	5
PAYMENT	4.2	53	4.9
PENNY	6.5	25	6.8
PEPPER	6.3	13	6.8
PERFUME	6	10	6.3
PERSON	6.1	175	6.5
PICTURE	6.2	162	6.5
PIGEON	6.4	3	6.9
PILLOW	6.5	8	6.6
PILOT	6.1	44	6.7
PISTOL	6.1	27	6.8
PITCHER	6.5	21	6.5
PLANET	6.1	21	6.1
PLATFORM	5.5	72	5.9
PLAYER	5.3	51	5.8
PLEASURE	5	62	3.3
POCKET	6.2	46	6.5
POEM	5	48	5.1
POLICE	6.5	155	6.6
PONY	6.3	10	6.8
POWDER	5.7	28	6.2
PRAIRIE	5.8	21	6.2
PRAYER	4.5	28	5
PRESSURE	3.5	185	4.3
PRINCESS	6	10	6
PRISON	6.3	42	6.7
PROBLEM	3.6	313	3.6
PRODUCT	3.7	87	5.5
PROGRAM	3.8	394	5.2
PROJECT	3.6	93	4.9
PROSPECT	2.6	25	3.1
PROVINCE	4.5	15	5.3
PUPIL	5.8	20	6.2
PURSUIT	4.1	16	3.4
PUZZLE	5.5	10	5.5
QUARTER	5.6	34	5.9
QUESTION	3.8	257	4.9
RABBIT	6.6	11	7
RAILWAY	6.5	12	6.5
RATTLE	5.6	5	5.5
READING	5.2	140	4.8
REASON	2.5	241	2.3
RECEIPT	4.9	4	6
RECORD	5.7	137	6.2
REFUGE	3.7	7	4.2
RELIEF	3.5	66	2.9
RESEARCH	4	171	4.7
RESORT	5.2	12	5.1
RESOURCE	2.8	9	4.5
RIBBON	5.8	12	6.5
RICHES	5.1	2	4.2
RIDER	5.3	16	6.2
RIFLE	6	63	6.7
RIVAL	3.9	12	4.3
RIVER	6.6	165	6.6
ROBBER	5.8	2	6
ROBIN	6.6	2	6.7
RUBBER	5.8	15	6.4
SADDLE	6.1	25	6.5
SAILOR	6.3	5	6.6
SALAD	6.3	9	6.5
SANDWICH	6.7	10	6.7
SCATTER	4.3	2	3.7
SCHOLAR	5.5	15	6.3
SCIENCE	4.1	131	3.8
SEASON	5.3	105	5.3
SECTION	2.8	189	4.6
SENATE	4.2	62	5.4
SENTENCE	4.8	34	5.2
SERIES	3.2	130	4
SERVANT	5.2	19	6
SERVICE	3.2	315	4.1
SHELTER	5.8	70	5.9
SHEPHERD	5.8	3	6.5
SHERIFF	6.3	20	6.8
SHIPPING	3.8	19	4.5
SHOWER	6.2	15	5.6
SICKNESS	4.7	6	4.7
SILENCE	4.6	52	3.5
SILVER	4	29	4
SINGER	4.2	10	3.3
SINGLE	6.4	172	6.5
SISTER	1.6	38	2.5
SLIPPER	4.8	3	5.3
SOLDIER	4.4	39	4.6
SORROW	4.8	9	3.6
SPARROW	5.9	0	6.8
SPEAKER	4.9	49	6.1
SPIDER	6.8	2	7
SPIRIT	4	182	2.3
SQUIRREL	6.3	1	6.9
STANDARD	2.1	110	3
STANZA	3.6	0	5.4
STATION	5.7	105	6
STATUS	3.1	97	3.1
STEAMER	5	1	6.4
STOCKING	5.9	1	6.5
STOMACH	5.8	37	6.6
STORY	5.1	153	5.4
STUDENT	6.4	131	6
SUBJECT	2.8	161	4.4
SUCCESS	4.3	93	3.7
SUGAR	6.4	34	6.7
SULPHUR	4.1	3	6.5
SUMMER	6.1	134	5.9
SUNSET	6.7	14	6
SUPPER	6.2	37	6.3
SURFACE	4.7	200	5.4
SURVEY	3.8	37	4.5
SYSTEM	2.8	416	4
TABLE	6.3	198	6.8
TALENT	4.2	40	3.7
TEACHER	6.2	80	6.4
TEMPER	4.7	12	3.8
TEMPLE	6	38	5.9
THEATER	6.4	52	6.5
THEORY	2.5	129	3
THUNDER	5.8	14	5.6
TICKET	6	16	6.6
TIGER	6.6	7	7
TIMBER	5.8	19	6.5
TOTAL	3.7	211	4.4
TRAFFIC	6.1	68	5.8
TRAINING	3.5	156	4.1
TRAITOR	4.2	2	4.8
TREASURE	5.9	4	5.1
TRIBUTE	2.9	24	3.8
TRIUMPH	4.8	22	3.6
TROUBLE	3.5	134	3
TUNNEL	6.3	10	6.4
TURKEY	6.6	9	6.8
TWILIGHT	5.3	4	4.8
UNCLE	5.9	57	6.3
UNION	3.5	182	4
UNIT	3	103	4.6
VALLEY	6.3	73	6.4
VALUE	2.3	200	2.4
VAPOR	5	12	4.6
VELVET	6.2	4	6.3
VESSEL	5.3	16	6.1
VICTIM	5.5	27	5.4
VILLAGE	6.3	72	6.2
VIRTUE	3.1	30	2.1
VOYAGE	5.1	17	5.2
WAGON	6.2	55	6.7
WATER	6.5	442	6.6
WEAKNESS	3.1	46	3.4
WEAPON	6	42	6.2
WEDDING	6.5	32	5.8
WIDOW	5.4	26	6.3
WILLOW	6.1	9	5.9
WINDOW	6.6	119	6.6
WINTER	6.6	83	6.1
WISDOM	4.2	44	3.2
WITNESS	4.4	28	5.1
WOMEN	6.6	195	6.5
WORKER	5.4	30	6.3
WORSHIP	4.7	36	2.8
WRINKLE	6	2	5.2
WRITER	4.8	73	6.2
WRITING	5.5	117	5.3
